%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1642399580441443042,2340,1642399578101172884,,0,0,43.0758186926,141.339597242,42.2225875854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399580468824618,2341,1642399578300990607,,0,0,43.0758186757,141.339597265,42.2254257202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399580469515317,2342,1642399578501036494,,0,0,43.0758186927,141.339597272,42.2284469604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399580470530213,2343,1642399578700840650,,0,0,43.0758186755,141.33959726,42.2278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399580472283296,2344,1642399578904094202,,0,0,43.0758187551,141.339597246,42.2164802551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399580473692790,2345,1642399579101067690,,0,0,43.0758187495,141.33959726,42.220451355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399580474327392,2346,1642399579301244523,,0,0,43.0758187524,141.339597253,42.219455719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399580478568289,2347,1642399579503673903,,0,0,43.0758187438,141.339597275,42.2238082886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399580481274923,2348,1642399579701369098,,0,0,43.0758187249,141.339597237,42.2202529907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399580484822754,2349,1642399579900856768,,0,0,43.075818763,141.339597248,42.2194862366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399580485239081,2350,1642399580101685515,,0,0,43.0758187681,141.339597241,42.2264480591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399580485767729,2351,1642399580300870557,,0,0,43.0758187655,141.339597235,42.2215538025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399580716085574,2352,1642399580702113325,,0,0,43.0758187415,141.339597278,42.2274894714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399580921511416,2353,1642399580901098428,,0,0,43.0758188067,141.339597281,42.2294387817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399581320927596,2354,1642399581302283851,,0,0,43.0758187772,141.339597292,42.2348976135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399581639250422,2355,1642399581501000469,,0,0,43.0758188001,141.339597278,42.2298812866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399581878749241,2356,1642399581701051604,,0,0,43.0758187752,141.339597269,42.2358703613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399582102680298,2357,1642399581901212373,,0,0,43.0758187785,141.339597303,42.2378578186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399582269583591,2358,1642399582100963088,,0,0,43.0758187425,141.339597235,42.2243614197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399582397543048,2359,1642399582300816108,,0,0,43.075818749,141.339597245,42.2315406799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399582619094357,2360,1642399582501502933,,0,0,43.075818771,141.339597259,42.2245597839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399582821467256,2361,1642399582701551924,,0,0,43.0758187681,141.33959725,42.2304382324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399583127128926,2362,1642399583101538481,,0,0,43.0758187731,141.339597217,42.2129440308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399583374761599,2363,1642399583300952198,,0,0,43.0758188091,141.339597245,42.21900177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399583752684357,2364,1642399583701124069,,0,0,43.0758186144,141.339597436,42.2351646423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399583906421718,2365,1642399583905477095,,0,0,43.07581858,141.339597469,42.2366638184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399584124122471,2366,1642399584101385350,,0,0,43.075818521,141.339597511,42.2234954834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399584311113115,2367,1642399584301165409,,0,0,43.0758185055,141.339597547,42.235660553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399584505667557,2368,1642399584501465124,,0,0,43.0758185454,141.339597511,42.2323379517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399584711689121,2369,1642399584701599301,,0,0,43.0758184985,141.339597498,42.2326126099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399584949618604,2370,1642399584901386176,,0,0,43.0758185562,141.33959753,42.226184845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399585110677358,2371,1642399585103090648,,0,0,43.0758185508,141.339597547,42.2424049377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399585344352183,2372,1642399585303674400,,0,0,43.0758185443,141.339597531,42.230304718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399585505637181,2373,1642399585501061974,,0,0,43.0758185297,141.33959762,42.2399253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399585747289601,2374,1642399585701575708,,0,0,43.07581853,141.339597664,42.2451057434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399585913050284,2375,1642399585901059922,,0,0,43.07581855,141.339597663,42.2190361023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399586155405180,2376,1642399586101823197,,0,0,43.0758185744,141.339597596,42.2276725769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399586366477382,2377,1642399586303160176,,0,0,43.0758186207,141.339597462,42.2466239929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399586535753960,2378,1642399586514212538,,0,0,43.0758186414,141.33959741,42.246635437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399586723703851,2379,1642399586706748164,,0,0,43.0758186219,141.339597444,42.2623291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399586910659519,2380,1642399586901529586,,0,0,43.0758187511,141.339597482,42.2036323547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399587105757489,2381,1642399587101401582,,0,0,43.0758186773,141.339597492,42.2037773132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399587304834082,2382,1642399587301057095,,0,0,43.0758186838,141.339597552,42.2165222168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399587514204369,2383,1642399587505174373,,0,0,43.0758186957,141.339597557,42.1982650757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1642399587737465464,2384,1642399587704871327,,0,0,43.0758186201,141.339597491,42.2064323425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
