stamp,x,y,z,qw,qx,qy,qz
1642400909.453991241,,,,,,,
1642400909.703829164,,,,,,,
1642400910.042401104,,,,,,,
1642400910.289049570,,,,,,,
1642400910.546511516,,,,,,,
1642400911.309425206,,,,,,,
1642400911.886216681,0.189037,-0.028917,-0.140510,0.463268,-0.452647,0.495871,-0.578451
1642400913.015509526,0.189372,-0.034139,-0.166396,0.462860,-0.452114,0.496241,-0.578877
1642400913.546775335,0.191423,-0.019914,-0.108198,0.462695,-0.451909,0.496383,-0.579047
1642400913.947915094,0.182529,-0.024276,-0.100527,0.462462,-0.451572,0.496618,-0.579295
1642400914.472990407,0.197378,-0.061043,-0.096202,0.462474,-0.451559,0.496616,-0.579297
1642400915.082420116,0.201727,-0.065323,-0.099975,0.462058,-0.451040,0.496993,-0.579710
1642400915.850878820,0.188948,-0.114360,-0.066341,0.461237,-0.450174,0.497616,-0.580502
1642400916.576219448,0.177972,-0.047341,-0.063619,0.461146,-0.451045,0.497644,-0.579873
1642400917.096746274,0.178999,-0.055778,-0.068167,0.460701,-0.451401,0.498401,-0.579300
1642400917.613821335,0.179220,-0.053232,-0.069404,0.462450,-0.449543,0.496579,-0.580913
1642400918.176659185,0.182843,-0.056527,-0.068597,0.462336,-0.449290,0.497635,-0.580295
1642400918.940206965,0.183170,-0.044817,-0.102377,0.463408,-0.448795,0.497660,-0.579803
1642400919.457092391,0.174581,-0.018624,-0.126868,0.463408,-0.449502,0.496774,-0.580014
1642400919.860290038,0.190636,-0.041355,-0.101472,0.463717,-0.449483,0.497576,-0.579093
1642400920.479245495,0.190887,-0.048659,-0.098362,0.463958,-0.450034,0.496495,-0.579401
1642400921.154589795,0.182297,-0.028883,-0.146414,0.463838,-0.450174,0.496569,-0.579325
1642400921.765193698,0.186543,-0.026464,-0.112030,0.463764,-0.450248,0.496599,-0.579301
1642400922.249863744,0.168585,-0.020904,-0.071497,0.464542,-0.450474,0.496489,-0.578595
